6.2	0
5.904761905	0
5.636363636	0
5.391304348	0
5.166666667	0
4.96	0
4.769230769	0
4.592592593	0
4.428571429	0
4.275862069	0
4.133333333	0
4	0.01652
3.875	0.0413
3.757575758	0.09774
3.647058824	0.19686
3.542857143	0.29047
3.444444444	0.33727
3.351351351	0.37857
3.263157895	0.43088
3.179487179	0.46392
3.1	0.49008
3.024390244	0.50935
2.952380952	0.52311
2.88372093	0.53688
2.818181818	0.54376
2.755555556	0.54789
2.695652174	0.5534
2.638297872	0.55065
2.583333333	0.54652
2.530612245	0.54101
2.48	0.53275
2.431372549	0.52036
2.384615385	0.50522
2.339622642	0.4887
2.296296296	0.47218
2.254545455	0.45291
2.214285714	0.43639
2.175438596	0.41698
2.137931034	0.39784
2.101694915	0.37857
2.066666667	0.36067
2.032786885	0.34828
2	0.33039
1.968253968	0.30836
1.9375	0.28909
1.907692308	0.27395
1.878787879	0.26018
1.850746269	0.24504
1.823529412	0.23265
1.797101449	0.22026
1.771428571	0.20649
1.746478873	0.19823
1.722222222	0.18653
1.698630137	0.17621
1.675675676	0.16519
1.653333333	0.15556
1.631578947	0.1473
1.61038961	0.13766
1.58974359	0.12665
1.569620253	0.11977
1.55	0.11151
1.530864198	0.10462
1.512195122	0.09912
1.493975904	0.08948
1.476190476	0.0826
1.458823529	0.07709
1.441860465	0.07021
1.425287356	0.0647
1.409090909	0.05919
1.393258427	0.05231
1.377777778	0.04818
1.362637363	0.04266
1.347826087	0.03782
1.333333333	0.03317
1.319148936	0.02872
1.305263158	0.02445
1.291666667	0.02036
1.278350515	0.01643
1.265306122	0.01267
1.252525253	0.00906
1.24	0.0056
